world_rank,institution,country,national_rank,quality_of_education,alumni_employment,quality_of_faculty,publications,influence,citations,broad_impact,patents,score,year
1,Harvard University,USA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023,1.0,2015
2,Stanford University,USA,0.0044,0.0219,0.0018,0.0138,0.004,0.002,0.0025,0.003,0.0103,0.9761,2015
3,Massachusetts Institute of Technology,USA,0.0088,0.0055,0.0177,0.0046,0.014,0.001,0.0012,0.001,0.0,0.9561,2015
4,University of Cambridge,United Kingdom,0.0,0.0027,0.0159,0.0184,0.01,0.0051,0.0136,0.012,0.054,0.943,2015
5,University of Oxford,United Kingdom,0.0044,0.0164,0.0212,0.0415,0.006,0.0111,0.0074,0.008,0.0161,0.9368,2015
6,Columbia University,USA,0.0132,0.0328,0.0088,0.0369,0.012,0.0121,0.0123,0.011,0.0034,0.931,2015
7,"University of California, Berkeley",USA,0.0175,0.0109,0.0353,0.023,0.009,0.003,0.0037,0.006,0.0322,0.8616,2015
8,University of Chicago,USA,0.0219,0.0273,0.023,0.0323,0.016,0.0152,0.0136,0.021,0.1609,0.8339,2015
9,Princeton University,USA,0.0263,0.0082,0.0247,0.0092,0.0711,0.0242,0.0284,0.032,0.2575,0.811,2015
10,Cornell University,USA,0.0307,0.0301,0.03,0.0599,0.023,0.0141,0.0296,0.021,0.0115,0.764,2015
11,Yale University,USA,0.0351,0.0246,0.0442,0.0461,0.017,0.0071,0.0419,0.019,0.0552,0.7608,2015
12,California Institute of Technology,USA,0.0395,0.0137,0.5777,0.0276,0.0521,0.0081,0.0222,0.024,0.0138,0.7213,2015
13,University of Tokyo,Japan,0.0,0.041,0.0035,0.1705,0.013,0.0182,0.037,0.028,0.0069,0.6111,2015
14,University of Pennsylvania,USA,0.0439,0.0519,0.0053,0.1244,0.007,0.0172,0.016,0.008,0.0149,0.5999,2015
15,"University of California, Los Angeles",USA,0.0482,0.0738,0.0459,0.0553,0.005,0.0131,0.0086,0.005,0.0092,0.5875,2015
16,Johns Hopkins University,USA,0.0526,0.0464,0.1466,0.0691,0.003,0.0101,0.0049,0.002,0.0011,0.4927,2015
17,Kyoto University,Japan,0.0044,0.0574,0.0265,0.106,0.029,0.0414,0.1073,0.0591,0.0172,0.4391,2015
18,New York University,USA,0.057,0.0847,0.0371,0.0783,0.046,0.0283,0.0555,0.031,0.0483,0.4353,2015
19,"University of Michigan, Ann Arbor",USA,0.0614,0.0628,0.0283,0.6406,0.002,0.0192,0.0062,0.013,0.0126,0.4348,2015
20,Swiss Federal Institute of Technology in Zurich,Switzerland,0.0,0.0437,0.1113,0.0737,0.043,0.0263,0.0469,0.0781,0.0644,0.4093,2015
21,"University of California, San Diego",USA,0.0658,0.0956,1.0,0.0829,0.015,0.004,0.0173,0.014,0.0184,0.4032,2015
22,Northwestern University,USA,0.0702,0.4426,0.0194,0.4747,0.026,0.0333,0.0321,0.025,0.0471,0.4026,2015
23,Hebrew University of Jerusalem,Israel,0.0,0.0383,0.288,0.0645,0.1191,0.097,0.4525,0.1421,0.0391,0.3875,2015
24,Seoul National University,South Korea,0.0,1.0,0.0141,1.0,0.035,0.1636,0.1788,0.1111,0.0057,0.3716,2015
25,University of Wisconsin–Madison,USA,0.0746,0.0765,0.0495,0.1521,0.02,0.0232,0.0259,0.026,0.0299,0.366,2015
26,"University of California, San Francisco",USA,0.0789,1.0,1.0,0.0876,0.021,0.0061,0.0173,0.01,0.0632,0.3514,2015
27,University College London,United Kingdom,0.0088,0.0546,0.788,0.1198,0.011,0.0212,0.0173,0.017,0.0759,0.326,2015
28,Duke University,USA,0.0833,0.1995,0.053,0.2535,0.018,0.0222,0.0173,0.015,0.0368,0.3131,2015
29,Rockefeller University,USA,0.0877,0.1311,1.0,0.0507,0.3714,0.0273,0.1406,0.0691,0.331,0.3083,2015
30,University of Texas at Austin,USA,0.0921,0.2022,0.0618,0.1106,0.047,0.0495,0.0308,0.0701,0.0425,0.3058,2015
31,University of Washington - Seattle,USA,0.0965,0.1284,0.1802,0.1843,0.008,0.0091,0.0111,0.004,0.0448,0.2964,2015
32,University of Toronto,Canada,0.0,0.1885,0.0883,0.1429,0.001,0.0162,0.0099,0.007,0.1655,0.2862,2015
33,University of Illinois at Urbana–Champaign,USA,0.1009,0.0874,0.1307,0.0922,0.039,0.0475,0.0506,0.0731,0.0736,0.2844,2015
34,Keio University,Japan,0.0088,0.7732,0.0071,1.0,0.3083,0.2475,0.4525,0.2693,0.0908,0.2826,2015
35,Imperial College London,United Kingdom,0.0132,0.2432,0.1431,0.1336,0.018,0.0253,0.0271,0.018,0.0529,0.2785,2015
36,École Polytechnique,France,0.0,0.265,0.0106,0.9908,0.3263,0.3162,0.2873,0.2943,0.1966,0.2712,2015
37,École normale supérieure - Paris,France,0.0044,0.0191,0.8852,0.2442,0.3784,0.1576,0.7941,0.2943,1.0,0.264,2015
38,Waseda University,Japan,0.0132,0.7842,0.0124,1.0,0.4054,0.3919,0.4525,0.3874,0.2839,0.2528,2015
39,Weizmann Institute of Science,Israel,0.0044,0.0492,1.0,0.0968,0.2452,0.0626,0.2873,0.1421,0.0506,0.2349,2015
40,University of North Carolina at Chapel Hill,USA,0.1053,0.3361,0.1201,0.3917,0.031,0.0313,0.0222,0.02,0.046,0.2335,2015
41,University of Virginia,USA,0.1096,0.5683,0.0336,0.576,0.0931,0.0737,0.1073,0.0891,0.1103,0.227,2015
42,McGill University,Canada,0.0044,0.0902,0.0636,0.341,0.032,0.0525,0.053,0.033,0.1506,0.2228,2015
43,"Purdue University, West Lafayette",USA,0.114,0.1475,0.0565,0.212,0.0741,0.0949,0.0826,0.1161,0.031,0.221,2015
44,Dartmouth College,USA,0.1184,0.1066,0.0318,1.0,0.2452,0.1677,0.1665,0.1532,0.0713,0.2203,2015
45,Osaka University,Japan,0.0175,0.123,0.0671,0.341,0.049,0.0576,0.2232,0.0661,0.0195,0.2145,2015
46,University of Pittsburgh - Pittsburgh Campus,USA,0.1228,0.2131,0.2968,1.0,0.024,0.0566,0.0247,0.023,0.0563,0.2074,2015
47,"Pennsylvania State University, University Park",USA,0.1272,0.6257,0.076,0.2811,0.048,0.0424,0.0333,0.037,0.1046,0.2058,2015
48,"University of Minnesota, Twin Cities",USA,0.1316,0.1694,0.2279,0.2857,0.022,0.0394,0.037,0.027,0.0667,0.2053,2015
49,"Ohio State University, Columbus",USA,0.136,0.2596,0.1519,0.3733,0.027,0.0515,0.037,0.037,0.0494,0.2031,2015
50,Rutgers University-New Brunswick,USA,0.1404,0.2459,0.0689,0.1659,0.0991,0.0657,0.0555,0.0881,0.069,0.2003,2015
51,University of Southern California,USA,0.1447,0.4126,0.1078,0.1751,0.0561,0.0636,0.1233,0.0551,0.0379,0.1983,2015
52,Washington University in St. Louis,USA,0.1491,0.2732,0.1678,0.3226,0.04,0.0202,0.0345,0.016,0.1931,0.1967,2015
53,"University of California, Davis",USA,0.1535,0.1448,0.3993,0.2673,0.028,0.0323,0.0419,0.0511,0.0701,0.1935,2015
54,University of Colorado Boulder,USA,0.1579,0.2158,0.1166,0.1382,0.0951,0.0374,0.0543,0.0731,0.1517,0.1894,2015
55,University of Edinburgh,United Kingdom,0.0175,0.1175,0.2226,0.1475,0.0531,0.0364,0.0789,0.042,0.2609,0.1852,2015
56,Peking University,China,0.0,0.4945,0.0654,1.0,0.0511,0.1313,0.2232,0.1241,0.0218,0.1829,2015
57,National Taiwan University,Taiwan,0.0,0.2486,0.0424,1.0,0.045,0.2242,0.2232,0.2032,0.7977,0.1824,2015
58,University of Paris-Sud,France,0.0088,0.0683,0.6926,0.1152,0.0721,0.0859,0.1406,0.0961,0.3713,0.182,2015
59,Lomonosov Moscow State University,Russia,0.0,0.0355,0.3074,0.2166,0.2673,0.2556,0.3527,0.3433,0.9885,0.1817,2015
60,University of Florida,USA,0.1623,0.582,0.4859,0.4378,0.036,0.0727,0.0555,0.0581,0.0046,0.1815,2015
61,Carnegie Mellon University,USA,0.1667,0.0656,0.2809,0.1014,0.2102,0.2263,0.0949,0.1491,0.1885,0.1783,2015
62,University of British Columbia,Canada,0.0088,0.2186,0.4841,0.424,0.025,0.0354,0.0444,0.033,0.092,0.1768,2015
63,Pierre-and-Marie-Curie University,France,0.0132,0.0792,0.712,0.4009,0.03,0.0343,0.0826,0.0621,0.0989,0.1745,2015
64,"University of California, Santa Barbara",USA,0.1711,0.3607,0.4929,0.129,0.1101,0.0586,0.0555,0.0541,0.0874,0.1717,2015
65,National University of Singapore,Singapore,0.0,1.0,0.1714,1.0,0.033,0.1253,0.0949,0.0891,0.0276,0.1683,2015
66,Boston University,USA,0.1754,0.8251,0.0936,0.3779,0.0591,0.0444,0.0444,0.033,0.154,0.1681,2015
67,University of Manchester,United Kingdom,0.0219,0.2678,0.1608,0.3272,0.042,0.0697,0.0345,0.0521,0.1621,0.1672,2015
68,University of Arizona,USA,0.1798,0.377,0.0954,0.3963,0.0731,0.0384,0.037,0.048,0.269,0.1651,2015
69,Vanderbilt University,USA,0.1842,0.235,0.1643,0.5023,0.0541,0.0616,0.0715,0.04,0.0575,0.1613,2015
70,University of Utah,USA,0.1886,0.2623,0.1837,0.3041,0.0961,0.0646,0.1233,0.0891,0.0207,0.1584,2015
71,Karolinska Institute,Sweden,0.0,0.4044,1.0,0.1613,0.0501,0.0535,0.0629,0.033,0.8529,0.1567,2015
72,"University of Maryland, College Park",USA,0.193,0.1831,0.3693,0.1935,0.0571,0.0465,0.0469,0.0661,0.3207,0.1554,2015
73,Tohoku University,Japan,0.0219,0.1093,0.2986,1.0,0.0671,0.1273,0.1406,0.1181,0.0241,0.1527,2015
74,University of Copenhagen,Denmark,0.0,0.3169,0.2615,0.2903,0.037,0.0303,0.0715,0.03,0.4954,0.1517,2015
75,University of Texas Southwestern Medical Center,USA,0.1974,0.1585,1.0,0.1567,0.1301,0.0293,0.0949,0.039,0.1977,0.1515,2015
76,Ruprecht Karl University of Heidelberg,Germany,0.0,0.1011,0.7085,0.2304,0.0681,0.0606,0.0555,0.045,0.2782,0.1483,2015
77,University of Notre Dame,USA,0.2018,0.6011,0.0406,0.7097,0.2412,0.2434,0.2232,0.2342,0.4034,0.1474,2015
78,Tsinghua University,China,0.0044,0.8415,0.1272,1.0,0.0621,0.1586,0.0789,0.1552,0.0333,0.1463,2015
79,Ludwig Maximilian University of Munich,Germany,0.0044,0.112,0.2261,0.4194,0.0651,0.0545,0.0641,0.0501,0.1908,0.1454,2015
80,Georgia Institute of Technology,USA,0.2061,0.3661,0.1042,1.0,0.1061,0.1525,0.0949,0.1051,0.0402,0.144,2015
81,University of Rochester,USA,0.2105,0.194,0.0919,0.5161,0.1131,0.1182,0.0826,0.0781,0.0724,0.1431,2015
82,Katholieke Universiteit Leuven,Belgium,0.0,1.0,0.3551,1.0,0.034,0.0919,0.0641,0.045,0.0839,0.1431,2015
83,Brown University,USA,0.2149,0.1721,0.0742,0.3318,0.1201,0.0667,0.0925,0.0981,0.2287,0.1427,2015
84,Emory University,USA,0.2193,1.0,0.2562,0.53,0.0661,0.0596,0.1134,0.04,0.0621,0.1399,2015
85,Erasmus University Rotterdam,Netherlands,0.0,1.0,0.0795,0.8664,0.0861,0.1475,0.0641,0.043,0.2598,0.1386,2015
86,Tel Aviv University,Israel,0.0088,0.2077,0.1873,0.2258,0.0971,0.1172,0.1665,0.1532,0.0437,0.1381,2015
87,Utrecht University,Netherlands,0.0044,0.2268,0.3498,0.5253,0.038,0.0434,0.0715,0.045,0.492,0.1379,2015
88,University of Sydney,Australia,0.0,0.2842,0.3481,0.7604,0.044,0.103,0.0555,0.0831,0.0851,0.1356,2015
89,"University of California, Irvine",USA,0.2237,0.6175,1.0,0.1982,0.0771,0.0505,0.0826,0.0531,0.1851,0.1338,2015
90,University of Texas MD Anderson Cancer Center,USA,0.2281,1.0,1.0,0.3641,0.0921,0.0717,0.0506,0.028,0.0805,0.1338,2015
91,Swiss Federal Institute of Technology in Lausanne,Switzerland,0.0044,1.0,0.129,0.53,0.1231,0.1141,0.0469,0.1091,0.0655,0.1331,2015
92,University of Geneva,Switzerland,0.0088,0.0929,0.3357,0.1889,0.1211,0.0768,0.1406,0.0781,0.3678,0.1329,2015
93,University of Melbourne,Australia,0.0044,0.3825,0.1979,1.0,0.041,0.0677,0.0641,0.0701,0.2552,0.1308,2015
